UnitID,State_Abbr
177834,MO
180203,MT
222178,TX
138558,GA
451079,FL
457271,CA
108269,CA
210508,PA
384306,CA
126182,CO
188429,NY
374024,MN
142832,IL
168528,MI
133872,FL
138600,GA
200697,OH
100654,AL
483975,AL
100724,AL
102580,AK
102669,AK
188526,NY
188535,NY
188580,NY
138716,GA
385415,NY
128498,CT
168546,MI
132842,FL
241331,PR
210571,PA
175342,MS
495192,CA
237118,WV
188641,NY
156189,KY
210669,PA
200873,OH
152798,IA
217624,SC
168591,MI
168607,MI
210775,PA
238193,WI
222628,TX
490081,CA
142887,IL
219505,TN
210809,PA
485698,SC
109086,CA
108870,CA
164447,MA
142957,IL
116846,CA
188854,NY
240736,AS
131159,DC
241128,PR
241100,PR
164465,MA
100690,AL
151865,IN
150066,IN
217633,SC
138761,GA
168740,MI
222831,TX
164492,MA
109350,CA
483018,OH
458113,VA
485908,OH
245838,CA
245892,OH
245865,NH
442392,OH
245847,CA
245883,WA
237136,WV
449922,VA
432348,VA
197869,NC
168786,MI
176600,MO
126289,CO
211088,PA
105899,AZ
104151,AZ
483124,AZ
448886,AZ
420574,AZ
407009,AZ
106306,AR
488527,AR
106458,AR
106467,AR
222877,TX
201061,OH
109651,CA
156222,KY
156213,KY
201104,OH
188942,NY
164562,MA
440651,PR
201140,OH
100812,AL
138901,GA
439446,FL
241216,PR
100858,AL
100830,AL
173045,MN
482149,GA
143084,IL
219000,SD
201177,OH
143118,IL
222983,TX
222992,TX
247825,TX
219602,TN
223001,TX
442295,FL
446048,FL
231420,VA
449931,VA
176628,MO
109785,CA
164580,MA
206817,OK
128586,NY
476601,MD
245777,NY
490513,NJ
495031,NY
449658,NJ
168847,MI
154688,KS
109819,CA
420705,TX
201195,OH
150136,IN
189015,NY
176664,MO
219639,TN
223117,TX
444398,TX
155070,KS
189088,NY
167792,MA
189097,NY
177719,MO
132471,FL
197911,NC
235547,WA
160977,ME
380359,MI
164632,MA
223223,TX
223232,TX
476717,NY
384254,FL
164720,MA
444413,NY
175421,MS
156286,KY
234669,WA
180814,NE
238324,WI
234696,WA
197984,NC
219709,TN
238333,WI
173124,MN
217721,SC
154712,KS
145619,IL
165884,MA
197993,NC
230816,VT
164739,MA
156295,KY
461643,CA
108861,CA
164748,MA
139144,GA
485999,NY
189273,NY
183804,NJ
486196,NY
488314,NJ
237181,WV
154721,KS
486284,MN
173142,MN
143233,IN
154749,KS
262022,CA
173160,MN
219718,TN
150145,IN
110060,CA
486053,MN
132602,FL
139153,GA
443702,IL
196079,NY
110097,CA
100937,AL
442949,OR
200022,ND
219046,SD
143288,IL
143297,IL
183822,NJ
211158,PA
175430,MS
231554,VA
237215,WV
201371,OH
217749,SC
142090,ID
142115,ID
233356,VA
189413,NY
164872,MA
164614,MA
164924,MA
164915,MA
164988,MA
161004,ME
162007,MD
201432,OH
201441,OH
143358,IL
165015,MA
262086,CA
223506,TX
139199,GA
156356,KY
198066,NC
139205,GA
152992,IA
231581,VA
165024,MA
230047,HI
142522,ID
230038,UT
450304,TX
189501,NY
132709,FL
217156,RI
180878,NE
219790,TN
217165,RI
210492,PA
211273,PA
211291,PA
153001,IA
209409,OR
150163,IN
444103,PA
198109,NC
211352,PA
215114,PA
183910,NJ
494940,CA
110361,CA
110918,CA
110370,CA
478634,CA
485263,CA
474890,AZ
487649,CA
110316,CA
110404,CA
111081,CA
483586,CA
486488,CA
110413,CA
110422,CA
110529,CA
111188,CA
110486,CA
441937,CA
110538,CA
110547,CA
110574,CA
110556,CA
110565,CA
110583,CA
110592,CA
409698,CA
110608,CA
110617,CA
110510,CA
366711,CA
110495,CA
211361,PA
496043,CA
111391,CA
150172,IN
176789,MO
169099,MI
169080,MI
165167,MA
206914,OK
198136,NC
156365,KY
189705,NY
201548,OH
162061,MD
238430,WI
241377,PR
241386,PR
363907,PR
363916,PR
173258,MN
211431,PA
211440,PA
199971,NC
461032,NC
489937,NC
433174,NC
180106,MT
238458,WI
219806,TN
238476,WI
111638,CA
439190,WA
201645,OH
230834,VT
198215,NC
475398,WV
143659,IL
189848,NY
439367,CA
211468,PA
201654,OH
158477,LA
183974,NJ
241793,PR
232618,VA
106713,AR
154855,KS
176910,MO
153108,IA
128771,CT
445267,MO
176947,MO
169248,MI
201690,OH
234827,WA
240514,WY
488004,NY
189857,NY
234845,WA
156408,KY
180948,NE
141486,HI
492069,AR
230852,VT
111948,CA
111966,CA
217688,SC
444778,NC
128780,CT
211556,PA
211583,PA
211608,PA
181145,NE
437732,TX
492607,TX
144005,IL
144014,IL
133021,FL
198303,NC
494630,TX
189981,NY
219833,TN
150215,IN
231712,VA
112127,CA
201867,OH
201928,OH
217864,SC
244233,FL
406547,FL
434539,FL
234915,WA
457697,MO
217873,SC
112251,CA
488387,CA
112260,CA
124283,CA
211644,PA
138947,GA
234933,WA
201973,OH
165334,MA
153126,IA
211024,PA
180832,NE
190044,NY
139311,GA
156417,KY
169327,MI
217882,SC
202046,OH
202073,OH
202134,OH
177038,KS
217891,SC
234951,WA
218724,SC
153144,IA
217907,SC
161086,ME
182634,NH
241720,PR
190080,NY
190099,NY
169442,MI
388520,TX
132851,FL
217819,SC
139250,GA
413617,WI
243638,FM
193399,NY
167394,MA
174747,MN
181604,NE
142559,ID
182005,NV
190558,NY
160959,ME
166124,MA
376695,MH
178697,MO
493822,RI
448752,CO
448761,CO
247834,TX
126669,CO
126678,CO
127556,CO
126711,CO
126775,CO
128106,CO
126818,CO
476975,CO
234979,WA
177065,MO
217934,SC
144281,IL
112570,CA
238573,WI
217925,SC
139348,GA
190150,NY
202170,OH
139366,GA
126942,CO
459417,MI
177083,MO
237330,WV
190248,NY
173300,MN
177092,MO
150288,IN
224004,TX
169363,MI
144351,IL
112075,CA
180984,NE
208488,OR
173328,MN
238616,WI
493600,NY
128902,CT
241766,PR
217961,SC
165495,MA
190372,NY
162283,MD
210331,OR
153162,IA
190415,NY
170037,MI
235024,WA
177117,MO
139393,GA
177126,MO
176770,MO
169424,MI
181002,NE
475608,TX
106810,AR
174862,MN
190503,NY
177144,MO
219949,TN
190512,NY
190549,NY
