UnitID,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
164632,68,80,70,72,80,77,72,74,76,69
223223,,,,,,,,,,
223232,88,89,90,89,89,89,88,87,85,82
476717,93,97,93,99,93,97,86,89,,
384254,71,73,68,88,75,80,69,79,86,75
164720,78,73,73,68,74,67,64,65,64,61
444413,89,94,79,86,72,75,67,73,85,82
175421,64,67,63,67,67,66,60,72,63,72
156286,80,79,72,80,81,80,80,81,78,83
234669,,,,,,,,,,70
180814,78,77,74,55,63,48,50,17,50,38
238324,88,79,86,64,73,88,75,100,76,75
234696,,,,,76,58,77,70,63,64
197984,62,66,64,61,60,63,65,64,64,69
219709,83,82,85,83,83,83,83,81,81,82
238333,79,78,85,86,88,85,92,91,86,88
173124,72,72,69,72,66,68,67,69,68,72
217721,56,57,53,56,62,58,53,57,47,58
154712,77,79,80,80,77,77,77,78,79,81
145619,69,72,73,70,64,73,73,73,81,76
165884,0,,,,,,,,,
197993,50,53,44,45,54,52,61,58,73,71
230816,83,73,78,80,82,84,83,83,85,81
164739,92,93,92,94,95,94,94,95,94,93
156295,84,83,80,84,86,84,81,82,79,79
461643,,,,,,,,,,
108861,,,,,,,,,,
164748,86,85,84,84,87,84,82,96,84,84
139144,83,84,78,85,83,79,79,75,79,78
485999,69,92,71,78,83,,,,,
189273,39,70,73,25,67,22,31,15,50,14
183804,,,,,,,,,,
486196,69,86,77,87,92,,,,,
488314,40,43,0,60,,,,,,
237181,61,67,70,68,64,70,53,64,59,63
154721,58,67,56,49,54,60,64,62,64,61
486284,71,70,60,83,67,,,,,
173142,71,80,83,82,73,71,72,72,71,71
143233,,,,,,,,,,
154749,67,56,61,62,63,63,70,62,77,83
262022,,,,,,,,,,
219718,62,57,60,59,60,56,56,58,62,62
150145,64,71,79,76,78,81,84,75,85,79
173160,83,85,85,88,84,83,85,83,85,86
110060,43,38,38,49,68,82,93,91,84,83
486053,88,85,94,90,95,,,,,
132602,54,65,67,63,61,66,63,64,69,68
139153,100,67,0,66,67,21,96,66,83,61
443702,,,,,,,,,,
196079,90,92,91,92,91,89,91,91,91,91
110097,83,86,87,84,85,87,85,86,86,90
100937,80,80,75,82,86,84,80,81,79,82
442949,,,,,,,,,,
200022,,,,,,,,,,
219046,62,62,69,63,63,63,59,61,61,64
143288,57,70,56,65,65,62,73,71,61,64
143297,,,,,,,,,,
183822,64,60,63,65,70,73,63,64,67,74
211158,74,72,74,75,77,78,81,78,80,81
175430,69,73,63,80,69,63,70,85,68,84
231554,53,51,52,61,54,60,49,48,56,59
237215,56,63,65,69,58,60,60,53,56,61
201371,60,66,61,67,72,70,67,68,64,60
217749,82,82,82,81,80,81,80,83,78,75
142090,70,71,81,67,55,57,66,52,55,54
142115,79,79,80,78,76,75,71,71,69,69
233356,,,,,,100,67,100,100,
189413,50,51,55,50,55,49,49,43,55,53
164872,68,65,68,82,63,67,75,62,61,48
164614,43,70,71,90,67,41,74,43,72,54
164924,95,95,95,95,95,96,95,95,95,96
164915,,,,,,,,,,
164988,94,94,93,93,93,93,93,92,92,91
161004,98,98,96,94,97,98,97,97,97,94
162007,70,68,72,75,72,74,70,71,75,71
201432,60,56,52,53,51,51,55,54,52,47
201441,77,77,77,76,78,76,70,70,72,77
143358,85,82,86,87,86,86,88,86,86,87
165015,93,92,94,94,92,93,93,95,94,92
262086,,,67,70,,,,,,
223506,,,,,,94,100,100,83,50
139199,52,51,65,71,59,66,67,67,69,72
156356,68,63,63,64,59,66,57,58,61,56
198066,65,56,53,49,58,59,57,52,65,58
139205,42,42,49,59,42,50,60,42,40,39
152992,66,68,55,79,70,54,66,57,69,68
231581,72,68,75,78,78,74,76,77,76,70
165024,77,78,76,80,79,81,81,81,81,81
230047,61,63,62,65,60,61,61,61,56,58
142522,70,73,72,71,68,69,68,72,73,71
230038,90,88,90,90,86,87,85,89,87,85
450304,,,,,,,,,,
189501,,,,,,,,,,
132709,,,,,,,,,,
217156,98,98,98,98,98,98,97,97,98,97
180878,80,83,90,88,86,83,83,97,83,93
219790,70,67,68,83,65,59,71,75,69,74
217165,87,90,90,90,90,87,90,88,86,87
210492,89,76,76,69,75,76,74,83,72,69
211273,89,92,92,94,94,91,91,90,90,93
211291,92,92,94,92,93,93,94,95,94,94
153001,70,60,77,73,78,73,69,77,73,72
209409,70,71,62,78,69,70,54,71,77,72
150163,88,89,89,93,89,90,91,91,87,89
444103,,,,,,,,,,
198109,,,,,,,,82,69,79
211352,76,71,68,70,76,77,71,74,73,68
215114,84,80,75,74,69,75,75,75,78,76
183910,79,79,84,77,82,84,73,82,76,69
494940,,,,,,,,,,
110361,78,76,78,76,76,83,77,78,77,75
110918,100,0,0,,,50,100,38,50,100
110370,81,81,84,81,81,80,82,76,79,75
485263,79,64,86,45,76,76,,,,
478634,100,100,86,33,100,100,50,,,
474890,24,,20,100,100,50,20,100,,
487649,,,,,,,,,,
110316,,,,,,,,,,
110404,98,98,98,98,97,97,97,96,98,98
111081,84,80,82,89,87,87,85,89,85,79
